en,fr,es,it
":[name=Dresseur]:Oh, non ! J'ai perdu ! ",":[name=Dresseur]:Oh, non ! J'ai perdu ! ",":[name=Dresseur]:Oh, non ! J'ai perdu ! ",":[name=Dresseur]:Oh, non ! J'ai perdu ! "
":[name=Dresseur]:Tu m'as battu !\nlWaouh, tu as du talent !",":[name=Dresseur]:Tu m'as battu !\nlWaouh, tu as du talent !",":[name=Dresseur]:Tu m'as battu !\nlWaouh, tu as du talent !",":[name=Dresseur]:Tu m'as battu !\nlWaouh, tu as du talent !"
":[name=Dresseur]:Arg, tu es tout aussi capable...",":[name=Dresseur]:Arg, tu es tout aussi capable[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]",":[name=Dresseur]:Arg, tu es tout aussi capable...",":[name=Dresseur]:Arg, tu es tout aussi capable..."
:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !,:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !,:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !,:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !
Veux-tu que je soigne ton équipe ?,Veux-tu que je soigne ton équipe ?,Veux-tu que je soigne ton équipe ?,Veux-tu que je soigne ton équipe ?
Oui !,Oui !,Oui !,Oui !
Non.,Non.,Non.,Non.
:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !,:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !,:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !,:[name=Fillette]:Non je ne viens pas de cette sortie ! C'est de l'autre coté !
Veux-tu que je soigne ton équipe ?,Veux-tu que je soigne ton équipe ?,Veux-tu que je soigne ton équipe ?,Veux-tu que je soigne ton équipe ?
Oui !,Oui !,Oui !,Oui !
Non.,Non.,Non.,Non.
"Je viens souvent arroser les plantes du cimetière et me recueillir auprès des défunts. \nlPar contre je ne rentre plus dans ce manoir ! \nlLa dernière fois que je me suis approché d'un tableau, il a grogné, je te jure ! \nlJ'ai l'impression que les tableaux nous observent, c'est vraiment flippant...","Je viens souvent arroser les plantes du cimetière et me recueillir auprès des défunts. \nlPar contre je ne rentre plus dans ce manoir ! \nlLa dernière fois que je me suis approché d'un tableau, il a grogné, je te jure ! \nlJ'ai l'impression que les tableaux nous observent, c'est vraiment flippant[WAIT 10].[WAIT 10].[WAIT 10].[WAIT 10]","Je viens souvent arroser les plantes du cimetière et me recueillir auprès des défunts. \nlPar contre je ne rentre plus dans ce manoir ! \nlLa dernière fois que je me suis approché d'un tableau, il a grogné, je te jure ! \nlJ'ai l'impression que les tableaux nous observent, c'est vraiment flippant...","Je viens souvent arroser les plantes du cimetière et me recueillir auprès des défunts. \nlPar contre je ne rentre plus dans ce manoir ! \nlLa dernière fois que je me suis approché d'un tableau, il a grogné, je te jure ! \nlJ'ai l'impression que les tableaux nous observent, c'est vraiment flippant..."
:[name=Dresseur]:Ton avenir est prometteur !,:[name=Dresseur]:Ton avenir est prometteur !,:[name=Dresseur]:Ton avenir est prometteur !,:[name=Dresseur]:Ton avenir est prometteur !
":[name=Fillette]:Ouvre-moi la voie, je te suis !",":[name=Fillette]:Ouvre-moi la voie, je te suis !",":[name=Fillette]:Ouvre-moi la voie, je te suis !",":[name=Fillette]:Ouvre-moi la voie, je te suis !"
":[name=Fillette]:Ouvre moi la voie, je te suis !",":[name=Fillette]:Ouvre moi la voie, je te suis !",":[name=Fillette]:Ouvre moi la voie, je te suis !",":[name=Fillette]:Ouvre moi la voie, je te suis !"
:[align=center]:REÇU : \c[5]GRAIN MIRACLE\c[0],:[align=center]:REÇU : \c[5]GRAIN MIRACLE\c[0],:[align=center]:REÇU : \c[5]GRAIN MIRACLE\c[0],:[align=center]:REÇU : \c[5]GRAIN MIRACLE\c[0]
":[align=center]:\s[i]Vous rangez votre ""Grain Miracle"" dans votre sac dans la poche Objets.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Grain Miracle"" dans votre sac dans la poche Objets.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Grain Miracle"" dans votre sac dans la poche Objets.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Grain Miracle"" dans votre sac dans la poche Objets.\s[r]"
